"metric","Comparison.x...2","w.x...3","p.x...4","Comparison.y...5","w.y...6","p.y...7","Comparison.x...8","w.x...9","p.x...10","Comparison.y...11","w.y...12","p.y...13","Comparison","w","p"
"A","OFAVP",970.5,0.229744445142204,"OFAVS",521,0.213979000956644,"OFRA",616.5,0.0989676772313406,"OFAV Control",1104,0.00145144766345028,"Species",301.5,0.000148943516228858
"CA","OFAVP",954.5,0.292468957469875,"OFAVS",545.5,0.107965010917653,"OFRA",718.5,0.000800400387061861,"OFAV Control",1070,0.00436098917101813,"Species",256,3.00132292022538e-05
"Cdi","OFAVP",931.5,0.401296860057934,"OFAVS",551,0.0569380249504723,"OFRA",783.5,7.95277919768893e-05,"OFAV Control",1076,0.00151322167993345,"Species",285,6.8796124178547e-05
"chla.ug.cm2","OFAVP",1181,0.000178633311766274,"OFAVS",294,0.408191756876134,"OFRA",731,0.00101193675305211,"OFAV Control",695,0.644762570228445,"Species",669,0.609200536976072
"CM2.year","OFAVP",673,0.763826026921318,"OFAVS",3,7.18762578345121e-06,"OFRA",273,0.847762886013595,"OFAV Control",936,4.96903985747015e-08,"Species",493,0.00022016623977838
"D2","OFAVP",368.5,1.22707428354838e-05,"OFAVS",247,0.170749364523821,"OFRA",316,0.00816777777924966,"OFAV Control",333,5.93883749077054e-06,"Species",755,0.398567433625931
"Dadult","OFAVP",568,0.0111215343437294,"OFAVS",363,0.475634047533734,"OFRA",405,0.155421382765272,"OFAV Control",554,0.0270424112319279,"Species",896,0.0166060266759718
"di","OFAVP",877,0.738476337432195,"OFAVS",458,0.762136205591594,"OFRA",563.5,0.493474750668299,"OFAV Control",1180.5,8.32925748068115e-05,"Species",391.5,0.00333448055404595
"Dsmall","OFAVP",347,2.91699767478666e-06,"OFAVS",94,2.51261827608319e-05,"OFRA",352.5,0.0297206635300949,"OFAV Control",259,2.09596293508734e-07,"Species",547,0.13589991017323
"Host_AFDW_mg.cm2","OFAVP",595,0.0491989428419439,"OFAVS",174,0.00378884666788558,"OFRA",186,4.92512886268192e-06,"OFAV Control",395,0.000559682229578144,"Species",834,0.0311695307771508
"prot_mg.cm2","OFAVP",455,0.000469715459795707,"OFAVS",142,0.00169844002265972,"OFRA",224,6.86844428439925e-05,"OFAV Control",552,0.0544505382717701,"Species",1002,2.93642675685585e-05
"Sym_AFDW_mg.cm2","OFAVP",420.5,0.000732194422066985,"OFAVS",302,0.491884938514075,"OFRA",315,0.00783486179133597,"OFAV Control",324,3.59735703668543e-05,"Species",670,0.48997390547522
"sym.cm2","OFAVP",776,0.565767516483361,"OFAVS",45,0.00236161049603574,"OFRA",268,0.493848061597376,"OFAV Control",401,0.112195210466736,"Species",239,0.207301389946337
"Fv.Fm","OFAVP",1576,9.48304401869325e-13,"OFAVS",932,2.16139506813515e-07,"OFRA",1083,3.56967108217418e-09,"OFAV Control",1177,3.11772982398781e-05,"Species",747.5,0.943076693330078
"Qm","OFAVP",34,1.16985025772901e-13,"OFAVS",27,8.63721052126831e-15,"OFRA",32,1.85482949574599e-15,"OFAV Control",121,1.73750528996739e-10,"Species",999,0.00839941306502383
